destination_id,name,type,state,popularity,best_time_to_visit,entry_fee,average_rating,total_reviews,latitude,longitude,budget_level,description,review_avg_rating,review_count,average_rating_normalized,type_encoded,state_encoded,budget_encoded,description_clean,tags
1,Taj Mahal,Historical,Uttar Pradesh,98,Oct-Mar,50,3.6,4111,27.17,78.04,Low,"One of the Seven Wonders of the World, a symbol of eternal love built by Mughal Emperor Shah Jahan for his wife Mumtaz Mahal.",3.7125000000000004,8,0.06666666666666687,5,16,1,"one of the seven wonders of the world, a symbol of eternal love built by mughal emperor shah jahan for his wife mumtaz mahal.",historical uttar pradesh oct-mar low
2,Qutub Minar,Historical,Delhi,88,Oct-Mar,30,4.0,3419,28.52,77.18,Low,"A UNESCO World Heritage Site, this 73-metre tall minaret is the tallest brick minaret in the world.",3.875,16,0.3333333333333335,5,3,1,"a unesco world heritage site, this 73-metre tall minaret is the tallest brick minaret in the world.",historical delhi oct-mar low
3,India Gate,Monument,Delhi,74,Oct-Mar,0,4.0,312,28.61,77.23,Free,An iconic war memorial built in the memory of Indian soldiers who died in World War I.,3.891666666666667,12,0.3333333333333335,6,3,0,an iconic war memorial built in the memory of indian soldiers who died in world war i.,monument delhi oct-mar free
4,Red Fort,Historical,Delhi,67,Oct-Mar,35,4.6,673,28.65,77.24,Low,"A UNESCO World Heritage Site, this massive red sandstone fort served as the main residence of the Mughal emperors.",4.0,5,0.7333333333333334,5,3,1,"a unesco world heritage site, this massive red sandstone fort served as the main residence of the mughal emperors.",historical delhi oct-mar low
5,Lotus Temple,Spiritual,Delhi,80,Oct-Mar,0,4.5,1066,28.55,77.26,Free,A magnificent lotus-shaped temple that welcomes people of all religions for prayer and meditation.,3.4200000000000004,10,0.666666666666667,8,3,0,a magnificent lotus-shaped temple that welcomes people of all religions for prayer and meditation.,spiritual delhi oct-mar free
6,Jama Masjid,Spiritual,Delhi,98,Oct-Mar,0,4.8,3693,28.65,77.23,Free,"One of the largest mosques in India, capable of holding 25,000 worshippers at a time.",3.716666666666667,12,0.8666666666666667,8,3,0,"one of the largest mosques in india, capable of holding 25,000 worshippers at a time.",spiritual delhi oct-mar free
7,Humayun Tomb,Historical,Delhi,78,Oct-Mar,30,4.2,2099,28.59,77.25,Low,"A magnificent mid-16th century Mughal mausoleum in Delhi, built for the Mughal Emperor Humayun.",3.9625000000000004,8,0.4666666666666668,5,3,1,"a magnificent mid-16th century mughal mausoleum in delhi, built for the mughal emperor humayun.",historical delhi oct-mar low
8,Akshardham Temple,Spiritual,Delhi,82,Oct-Mar,70,3.7,3773,28.61,77.28,Medium,A stunning Hindu temple complex and cultural campus on the banks of the Yamuna River.,3.933333333333333,15,0.13333333333333375,8,3,2,a stunning hindu temple complex and cultural campus on the banks of the yamuna river.,spiritual delhi oct-mar medium
9,Lal Qila,Historical,Delhi,70,Oct-Mar,35,4.6,4598,28.65,77.24,Low,"Also known as Red Fort, a historic fort that served as the main residence of Mughal emperors for nearly 200 years.",3.988888888888889,9,0.7333333333333334,5,3,1,"also known as red fort, a historic fort that served as the main residence of mughal emperors for nearly 200 years.",historical delhi oct-mar low
10,Chandni Chowk,Cultural,Delhi,70,Oct-Mar,0,4.6,3158,28.65,77.23,Free,"A historic street in Old Delhi famous for its food, street markets, and vibrant culture.",3.1375,8,0.7333333333333334,2,3,0,"a historic street in old delhi famous for its food, street markets, and vibrant culture.",cultural delhi oct-mar free
