destination_id,name,type,state,popularity,best_time_to_visit,entry_fee,average_rating,total_reviews,latitude,longitude,budget_level,description
1,Taj Mahal,Historical,Uttar Pradesh,98,Oct-Mar,50,3.6,4111,27.17,78.04,Low,"One of the Seven Wonders of the World, a symbol of eternal love built by Mughal Emperor Shah Jahan for his wife Mumtaz Mahal."
2,Qutub Minar,Historical,Delhi,88,Oct-Mar,30,4.0,3419,28.52,77.18,Low,"A UNESCO World Heritage Site, this 73-metre tall minaret is the tallest brick minaret in the world."
3,India Gate,Monument,Delhi,74,Oct-Mar,0,4.0,312,28.61,77.23,Free,An iconic war memorial built in the memory of Indian soldiers who died in World War I.
4,Red Fort,Historical,Delhi,67,Oct-Mar,35,4.6,673,28.65,77.24,Low,"A UNESCO World Heritage Site, this massive red sandstone fort served as the main residence of the Mughal emperors."
5,Lotus Temple,Spiritual,Delhi,80,Oct-Mar,0,4.5,1066,28.55,77.26,Free,A magnificent lotus-shaped temple that welcomes people of all religions for prayer and meditation.
6,Jama Masjid,Spiritual,Delhi,98,Oct-Mar,0,4.8,3693,28.65,77.23,Free,"One of the largest mosques in India, capable of holding 25,000 worshippers at a time."
7,Humayun Tomb,Historical,Delhi,78,Oct-Mar,30,4.2,2099,28.59,77.25,Low,"A magnificent mid-16th century Mughal mausoleum in Delhi, built for the Mughal Emperor Humayun."
8,Akshardham Temple,Spiritual,Delhi,82,Oct-Mar,70,3.7,3773,28.61,77.28,Medium,A stunning Hindu temple complex and cultural campus on the banks of the Yamuna River.
9,Lal Qila,Historical,Delhi,70,Oct-Mar,35,4.6,4598,28.65,77.24,Low,"Also known as Red Fort, a historic fort that served as the main residence of Mughal emperors for nearly 200 years."
10,Chandni Chowk,Cultural,Delhi,70,Oct-Mar,0,4.6,3158,28.65,77.23,Free,"A historic street in Old Delhi famous for its food, street markets, and vibrant culture."
11,Amber Fort,Historical,Rajasthan,83,Oct-Mar,200,4.3,4140,26.98,75.85,Medium,"A stunning hilltop fort overlooking Maota Lake, a blend of Hindu and Mughal architecture."
12,City Palace Jaipur,Historical,Rajasthan,95,Oct-Mar,100,4.7,2106,26.92,75.82,Medium,"A magnificent palace complex in Jaipur, home to the royal family of Jaipur."
